work_id,scored_for_type,scored_for_id,is_featured,status
john-adams-1947-chamber-symphony-1,ensemble,symphony-orchestra,false,pending
john-adams-1947-doctor-atomic-symphony-4,ensemble,symphony-orchestra,false,pending
john-adams-1947-grand-pianola-music-6,instrument,piano,false,pending
john-adams-1947-string-quartet-20,ensemble,string-quartet,false,pending
john-adams-1947-violin-concerto-25,ensemble,symphony-orchestra,false,pending
john-adams-1947-violin-concerto-25,instrument,violin,false,pending
john-adams-1947-violin-concerto-25,instrument,violin,true,pending
thomas-ades-1971-chamber-symphony-op-2-1,ensemble,symphony-orchestra,false,pending
thomas-ades-1971-concerto-for-piano-and-orchestra-2,ensemble,symphony-orchestra,false,pending
thomas-ades-1971-concerto-for-piano-and-orchestra-2,instrument,piano,false,pending
thomas-ades-1971-concerto-for-piano-and-orchestra-2,instrument,piano,true,pending
thomas-ades-1971-violin-concerto-concentric-paths-11,ensemble,symphony-orchestra,false,pending
thomas-ades-1971-violin-concerto-concentric-paths-11,instrument,violin,false,pending
thomas-ades-1971-violin-concerto-concentric-paths-11,instrument,violin,true,pending
isaac-albeniz-1860-6-mazurkas-de-salon-for-piano-op-66-b12-2,instrument,piano,false,pending
isaac-albeniz-1860-asturias-for-guitar-7,instrument,guitar,false,pending
isaac-albeniz-1860-balbina-valverde-polka-for-piano-9,instrument,piano,false,pending
isaac-albeniz-1860-berceuse-for-piano-t114-bis-11,instrument,piano,false,pending
isaac-albeniz-1860-cadix-gaditana-for-piano-12,instrument,piano,false,pending
isaac-albeniz-1860-castilla-for-two-guitars-14,instrument,guitar,false,pending
isaac-albeniz-1860-champagne-vals-for-piano-15,instrument,piano,false,pending
isaac-albeniz-1860-diva-sin-par-mazurka-for-piano-18,instrument,piano,false,pending
isaac-albeniz-1860-estudio-impromptu-for-piano-op-56-21,instrument,piano,false,pending
isaac-albeniz-1860-les-saisons-for-piano-op-201-27,instrument,piano,false,pending
isaac-albeniz-1860-pavana-facil-para-manos-pequenas-for-piano-in-c-minor-op-83-b28-34,instrument,piano,false,pending
isaac-albeniz-1860-piano-concerto-in-a-minor-op-78-concierto-fantastico-37,ensemble,symphony-orchestra,false,pending
isaac-albeniz-1860-piano-concerto-in-a-minor-op-78-concierto-fantastico-37,instrument,piano,false,pending
isaac-albeniz-1860-piano-concerto-in-a-minor-op-78-concierto-fantastico-37,instrument,piano,true,pending
isaac-albeniz-1860-piano-sonata-no-4-in-a-major-op-72-b20-38,instrument,piano,false,pending
isaac-albeniz-1860-rapsodia-espanola-for-piano-and-orchestra-op-70--39,instrument,piano,false,pending
isaac-albeniz-1860-recuerdos-mazurka-for-piano-op-80-41,instrument,piano,false,pending
isaac-albeniz-1860-reves-for-piano-op-101-42,instrument,piano,false,pending
isaac-albeniz-1860-rumores-de-la-caleta-for-guitar-44,instrument,guitar,false,pending
isaac-albeniz-1860-serenata-arabe-for-piano-46,instrument,piano,false,pending
tomaso-albinoni-1671-12-concerti-a-cinque-for-solo-violin-2-violins-viola-cello-and-continuo-in-a-major-op-10-no-5--0,instrument,viola,false,pending
tomaso-albinoni-1671-12-concerti-a-cinque-for-solo-violin-2-violins-viola-cello-and-continuo-in-b-flat-major-op-10-no-1--1,instrument,viola,false,pending
