id,name,completeName,birthYear,deathYear,description,popular,recommended,primarySource
"john-adams-1947","Adams","John Adams",1947,,,false,true,openopus
"thomas-ades-1971","Adès","Thomas Adès",1971,,,false,false,openopus
"isaac-albeniz-1860","Albéniz","Isaac Albéniz",1860,1909,,false,false,openopus
"tomaso-albinoni-1671","Albinoni","Tomaso Albinoni",1671,1751,,false,false,openopus
"george-antheil-1900","Antheil","George Antheil",1900,1959,,false,false,openopus
"malcolm-arnold-1921","Arnold","Malcolm Arnold",1921,2006,,false,false,openopus
"milton-babbitt-1916","Babbitt","Milton Babbitt",1916,2011,,false,false,openopus
"johann-sebastian-bach-1685","Bach","Johann Sebastian Bach",1685,1750,,true,true,openopus
"carl-philipp-emanuel-bach-1714","Bach, C.P.E.","Carl Philipp Emanuel Bach",1714,1788,,false,false,openopus
"johann-christian-bach-1735","Bach, J.C.","Johann Christian Bach",1735,1782,,false,false,openopus
"mily-balakirev-1837","Balakirev","Mily Balakirev",1837,1910,,false,false,openopus
"samuel-barber-1910","Barber","Samuel Barber",1910,1981,,false,false,openopus
"bela-bartok-1881","Bartók","Béla Bartók",1881,1945,,false,true,openopus
"arnold-bax-1883","Bax","Arnold Bax",1883,1953,,false,false,openopus
"ludwig-van-beethoven-1770","Beethoven","Ludwig van Beethoven",1770,1827,,true,true,openopus
"vincenzo-bellini-1801","Bellini","Vincenzo Bellini",1801,1835,,false,false,openopus
"alban-berg-1885","Berg","Alban Berg",1885,1935,,false,true,openopus
"luciano-berio-1925","Berio","Luciano Berio",1925,2003,,false,false,openopus
"hector-berlioz-1803","Berlioz","Hector Berlioz",1803,1869,,false,true,openopus
"leonard-bernstein-1918","Bernstein","Leonard Bernstein",1918,1990,,false,false,openopus
"franz-berwald-1796","Berwald","Franz Berwald",1796,1868,,false,false,openopus
"heinrich-franz-von-biber-1644","Biber","Heinrich Franz von Biber",1644,1704,,false,false,openopus
"harrison-birtwistle-1934","Birtwistle","Harrison Birtwistle",1934,,,false,false,openopus
"georges-bizet-1838","Bizet","Georges Bizet",1838,1875,,false,false,openopus
"ernest-bloch-1880","Bloch","Ernest Bloch",1880,1959,,false,false,openopus
"luigi-boccherini-1743","Boccherini","Luigi Boccherini",1743,1805,,false,false,openopus
"alexander-borodin-1833","Borodin","Alexander Borodin",1833,1887,,false,true,openopus
"pierre-boulez-1925","Boulez","Pierre Boulez",1925,2016,,false,true,openopus
"joly-braga-santos-1924","Braga Santos","Joly Braga Santos",1924,1988,,false,false,openopus
"johannes-brahms-1833","Brahms","Johannes Brahms",1833,1897,,true,true,openopus
"benjamin-britten-1913","Britten","Benjamin Britten",1913,1976,,false,true,openopus
"max-bruch-1838","Bruch","Max Bruch",1838,1920,,false,false,openopus
"anton-bruckner-1824","Bruckner","Anton Bruckner",1824,1896,,false,true,openopus
"ferruccio-busoni-1866","Busoni","Ferruccio Busoni",1866,1924,,false,false,openopus
"dietrich-buxtehude-1637","Buxtehude","Dietrich Buxtehude",1637,1707,,false,false,openopus
"william-byrd-1540","Byrd","William Byrd",1540,1623,,false,false,openopus
"john-cage-1912","Cage","John Cage",1912,1992,,false,false,openopus
"camargo-guarnieri-1907","Camargo Guarnieri","Camargo Guarnieri",1907,1993,,false,false,openopus
"elliott-carter-1908","Carter","Elliott Carter",1908,2012,,false,false,openopus
"emmanuel-chabrier-1841","Chabrier","Emmanuel Chabrier",1841,1894,,false,false,openopus
"marc-antoine-charpentier-1636","Charpentier","Marc-Antoine Charpentier",1636,1704,,false,false,openopus
"ernest-chausson-1855","Chausson","Ernest Chausson",1855,1899,,false,false,openopus
"carlos-chavez-1899","Chávez","Carlos Chávez",1899,1978,,false,false,openopus
"luigi-cherubini-1760","Cherubini","Luigi Cherubini",1760,1842,,false,false,openopus
"frederic-chopin-1810","Chopin","Frédéric Chopin",1810,1849,,true,true,openopus
"aaron-copland-1900","Copland","Aaron Copland",1900,1990,,false,true,openopus
"arcangelo-corelli-1653","Corelli","Arcangelo Corelli",1653,1713,,false,false,openopus
"john-corigliano-1938","Corigliano","John Corigliano",1938,,,false,false,openopus
"francois-couperin-1668","Couperin","François Couperin",1668,1733,,false,true,openopus
"george-crumb-1929","Crumb","George Crumb",1929,2022,,false,false,openopus
"cesar-cui-1835","Cui","César Cui",1835,1918,,false,false,openopus
"vincent-dindy-1851","d'Indy","Vincent d'Indy",1851,1931,,false,false,openopus
"michael-daugherty-1954","Daugherty","Michael Daugherty",1954,,,false,false,openopus
"claude-debussy-1862","Debussy","Claude Debussy",1862,1918,,true,true,openopus
"leo-delibes-1836","Delibes","Léo Delibes",1836,1891,,false,false,openopus
"frederick-delius-1862","Delius","Frederick Delius",1862,1934,,false,false,openopus
"josquin-des-prez-1450","Des Prez","Josquin Des Prez",1450,1521,,false,true,openopus
