composerId,epochId
"john-taverner-1490","renaissance"
"tomas-luis-de-victoria-1549","renaissance"
"jan-pieterszoon-sweelinck-1562","renaissance"
"giovanni-pierluigi-da-palestrina-1525","renaissance"
"william-byrd-1540","renaissance"
"carlo-gesualdo-1561","renaissance"
"jacob-obrecht-1450","renaissance"
"johannes-ockeghem-1420","renaissance"
"claudio-monteverdi-1567","renaissance"
"josquin-des-prez-1450","renaissance"
"michael-praetorius-1571","renaissance"
"thomas-tallis-1505","renaissance"
"john-dowland-1563","renaissance"
"heinrich-schutz-1585","renaissance"
"clement-janequin-1485","renaissance"
"orlando-gibbons-1583","renaissance"
"orlande-de-lassus-1532","renaissance"
"leonin-1135","medieval"
"guillaume-dufay-1400","medieval"
"guillaume-de-machaut-1300","medieval"
"perotin-1160","medieval"
"alexander-glazunov-1865","late-romantic"
"gabriel-faure-1845","late-romantic"
"albert-roussel-1869","late-romantic"
"ernst-von-dohnanyi-1877","late-romantic"
"edward-macdowell-1860","late-romantic"
"karol-szymanowski-1882","late-romantic"
"wilhelm-stenhammar-1871","late-romantic"
"sergei-rachmaninoff-1873","late-romantic"
"max-reger-1873","late-romantic"
"richard-strauss-1864","late-romantic"
"engelbert-humperdinck-1854","late-romantic"
"paul-dukas-1865","late-romantic"
"ferruccio-busoni-1866","late-romantic"
"josef-suk-1874","late-romantic"
"claude-debussy-1862","late-romantic"
"george-enescu-1881","late-romantic"
"edward-elgar-1857","late-romantic"
"erik-satie-1866","late-romantic"
"alexander-scriabin-1872","late-romantic"
"ottorino-respighi-1879","late-romantic"
"reinhold-gliere-1875","late-romantic"
"ruggero-leoncavallo-1857","late-romantic"
"leos-janacek-1854","late-romantic"
"gustav-mahler-1860","late-romantic"
"jean-sibelius-1865","late-romantic"
"franz-schmidt-1874","late-romantic"
"maurice-ravel-1875","late-romantic"
"carl-nielsen-1865","late-romantic"
"scott-joplin-1868","late-romantic"
"gustav-holst-1874","late-romantic"
"enrique-granados-1867","late-romantic"
"frederick-delius-1862","late-romantic"
"giacomo-puccini-1858","late-romantic"
"pietro-mascagni-1863","late-romantic"
"alexander-von-zemlinsky-1871","late-romantic"
"ralph-vaughan-williams-1872","late-romantic"
"eugene-ysaye-1858","late-romantic"
"victor-herbert-1859","late-romantic"
"isaac-albeniz-1860","late-romantic"
"michael-daugherty-1954","21st-century"
"john-corigliano-1938","21st-century"
"thomas-ades-1971","21st-century"
"john-adams-1947","21st-century"
"louis-spohr-1784","early-romantic"
"johann-nepomuk-hummel-1778","early-romantic"
"fernando-sor-1778","early-romantic"
"gioachino-rossini-1792","early-romantic"
"carl-maria-von-weber-1786","early-romantic"
"gaetano-donizetti-1797","early-romantic"
"franz-schubert-1797","early-romantic"
"niccolo-paganini-1782","early-romantic"
"john-field-1782","early-romantic"
"luigi-cherubini-1760","early-romantic"
"franz-berwald-1796","early-romantic"
"vincenzo-bellini-1801","early-romantic"
"ludwig-van-beethoven-1770","early-romantic"
"karl-ditters-von-dittersdorf-1739","classical"
"franz-joseph-haydn-1732","classical"
"antonio-salieri-1750","classical"
"carl-stamitz-1745","classical"
"christoph-willibald-von-gluck-1714","classical"
"wolfgang-amadeus-mozart-1756","classical"
"luigi-boccherini-1743","classical"
"johann-christian-bach-1735","classical"
"carl-philipp-emanuel-bach-1714","classical"
"george-gershwin-1898","20th-century"
"vagn-holmboe-1909","20th-century"
"arthur-honegger-1892","20th-century"
"zoltan-kodaly-1882","20th-century"
"charles-ives-1874","20th-century"
"joaquin-rodrigo-1901","20th-century"
"manuel-de-falla-1876","20th-century"
"kurt-weill-1900","20th-century"
"dmitry-kabalevsky-1904","20th-century"
"paul-hindemith-1895","20th-century"
"anton-webern-1883","20th-century"
"erich-wolfgang-korngold-1897","20th-century"
"sergei-prokofiev-1891","20th-century"
"carlos-chavez-1899","20th-century"
"howard-hanson-1896","20th-century"
"percy-grainger-1882","20th-century"
"alberto-ginastera-1916","20th-century"
"edgard-varese-1883","20th-century"
"carl-orff-1895","20th-century"
"fernando-lopes-graca-1906","20th-century"
"aaron-copland-1900","20th-century"
"arnold-schoenberg-1874","20th-century"
"michael-tippett-1905","20th-century"
"bohuslav-martinu-1890","20th-century"
"heitor-villa-lobos-1887","20th-century"
"camargo-guarnieri-1907","20th-century"
"dmitri-shostakovich-1906","20th-century"
"ernest-moeran-1894","20th-century"
"roy-harris-1898","20th-century"
"jacques-ibert-1890","20th-century"
"igor-stravinsky-1882","20th-century"
"william-walton-1902","20th-century"
"aram-khachaturian-1903","20th-century"
"francisco-mignone-1897","20th-century"
"darius-milhaud-1892","20th-century"
"olivier-messiaen-1908","20th-century"
"william-schuman-1910","20th-century"
"maurice-durufle-1902","20th-century"
"francis-poulenc-1899","20th-century"
"astor-piazzolla-1921","20th-century"
"benjamin-britten-1913","20th-century"
"joly-braga-santos-1924","20th-century"
"ernest-bloch-1880","20th-century"
"leonard-bernstein-1918","20th-century"
"alban-berg-1885","20th-century"
"arnold-bax-1883","20th-century"
"bela-bartok-1881","20th-century"
"samuel-barber-1910","20th-century"
"george-antheil-1900","20th-century"
"henryk-gorecki-1933","post-war"
"steve-reich-1936","post-war"
"ned-rorem-1923","post-war"
"sofia-gubaidulina-1931","post-war"
"einojuhani-rautavaara-1928","post-war"
"george-crumb-1929","post-war"
"karlheinz-stockhausen-1928","post-war"
"hans-werner-henze-1926","post-war"
"wolfgang-rihm-1952","post-war"
"morton-gould-1913","post-war"
"alfred-schnittke-1934","post-war"
"arvo-part-1935","post-war"
"henri-dutilleux-1916","post-war"
"philip-glass-1937","post-war"
"krzysztof-penderecki-1933","post-war"
"witold-lutoslawski-1913","post-war"
"luigi-nono-1924","post-war"
"john-cage-1912","post-war"
"gyorgy-ligeti-1923","post-war"
"iannis-xenakis-1922","post-war"
"elliott-carter-1908","post-war"
"toru-takemitsu-1930","post-war"
"pierre-boulez-1925","post-war"
"harrison-birtwistle-1934","post-war"
"luciano-berio-1925","post-war"
"milton-babbitt-1916","post-war"
"malcolm-arnold-1921","post-war"
"georg-philipp-telemann-1681","baroque"
"domenico-scarlatti-1685","baroque"
"jean-philippe-rameau-1683","baroque"
"johann-pachelbel-1653","baroque"
"arcangelo-corelli-1653","baroque"
"marin-marais-1656","baroque"
"george-frideric-handel-1685","baroque"
"antonio-vivaldi-1678","baroque"
"alessandro-scarlatti-1660","baroque"
"giuseppe-tartini-1692","baroque"
"dietrich-buxtehude-1637","baroque"
"benedetto-marcello-1686","baroque"
"girolamo-frescobaldi-1583","baroque"
