workId,genreId
"isaac-albeniz-1860-mazurka-de-salon-in-d-minor-op-96-b312-ricordatti-30","keyboard"
"hugo-wolf-1860-scherz-und-spiel-in-g-64","keyboard"
"iannis-xenakis-1922-evryali-for-piano-17","keyboard"
"alexander-von-zemlinsky-1871-albumblatt-for-piano-5","keyboard"
"hugo-wolf-1860-paraphrase-uber-die-meistersinger-von-nurnberg-von-richard-wagner-in-g-59","keyboard"
"hugo-wolf-1860-rondo-capriccioso-in-b-flat-major-op-15-61","keyboard"
"iannis-xenakis-1922-herma-18","keyboard"
"alexander-von-zemlinsky-1871-landliche-tanze-for-piano-op-1-29","keyboard"
"hugo-wolf-1860-variations-in-g-major-op-2-76","keyboard"
"iannis-xenakis-1922-khoai-for-harpsichord-26","keyboard"
"iannis-xenakis-1922-ar--0","keyboard"
"iannis-xenakis-1922-naama-for-harpsichord-34","keyboard"
"hugo-wolf-1860-schlummerlied-in-g-65","keyboard"
"alexander-von-zemlinsky-1871-skizze-for-piano-47","keyboard"
"alexander-von-zemlinsky-1871-ballades-for-piano-6","keyboard"
"iannis-xenakis-1922-mists-33","keyboard"
"alexander-von-zemlinsky-1871-fantasies-on-poems-of-richard-dehmel-for-piano-op-9-21","keyboard"
"charles-marie-widor-1844-organ-symphony-no-1-in-c-minor-op-13-no-1-14","keyboard"
"anton-webern-1883-sonatasatz-44","keyboard"
"charles-marie-widor-1844-organ-symphony-no-4-in-f-minor-op-13-no-4-18","keyboard"
"charles-marie-widor-1844-symphony-for-organ-no-9-in-c-minor-op-70-40","keyboard"
"charles-marie-widor-1844-symphony-no-2-in-d-for-organ-op-13-no-2-41","keyboard"
"charles-marie-widor-1844-organ-symphony-no-2-in-d-major-op-13-no-2-16","keyboard"
"charles-marie-widor-1844-symphony-no-4-in-f-minor-for-organ-op-13-no-4-43","keyboard"
"charles-marie-widor-1844-symphony-no-5-in-f-minor-for-organ-op-42-no-1-44","keyboard"
"charles-marie-widor-1844-symphony-no-6-in-g-minor-for-organ-op-42-no-2-45","keyboard"
"anton-webern-1883-kinderstuck-op-posth-33","keyboard"
"charles-marie-widor-1844-organ-symphony-no-5-in-f-minor-op-42-no-1-19","keyboard"
"charles-marie-widor-1844-organ-symphony-no-10-in-d-op-73-romane-15","keyboard"
"charles-marie-widor-1844-organ-symphony-no-3-in-e-minor-op-13-no-3-17","keyboard"
"anton-webern-1883-movement-36","keyboard"
"anton-webern-1883-variations-op-27-50","keyboard"
"anton-webern-1883-childrens-piece-28","keyboard"
"charles-marie-widor-1844-nouvelles-pieces--for-organ-op-87-12","keyboard"
"charles-marie-widor-1844-fugue-for-organ-in-e-minor-5","keyboard"
"hugo-wolf-1860-humoreske-in-g-minor-33","keyboard"
"charles-marie-widor-1844-symphony-for-organ-no-7-in-a-minor-op-42-no-3-39","keyboard"
"charles-marie-widor-1844-fugue-sur-le-nom-dhaydn-for-piano-6","keyboard"
"charles-marie-widor-1844-scherzo-for-organ-in-e-major-la-chasse-29","keyboard"
"charles-marie-widor-1844-organ-symphony-no-7-in-a-minor-op-42-no-3-21","keyboard"
"charles-marie-widor-1844-organ-symphony-no-6-in-g-minor-op-42-no-2-20","keyboard"
