id,name,title,description,popular,recommended,primarySource
"john-adams-1947-berceuse-elegiaque-0","Berceuse élégiaque","Berceuse élégiaque","Adams - Berceuse élégiaque, For chamber orchestra",false,false,openopus
"john-adams-1947-chamber-symphony-1","Chamber Symphony","Chamber Symphony","Adams - Chamber Symphony",false,false,openopus
"john-adams-1947-china-gates-2","China Gates","China Gates","Adams - China Gates",true,true,openopus
"john-adams-1947-doctor-atomic-3","Doctor Atomic","Doctor Atomic","Adams - Doctor Atomic, Opera",false,false,openopus
"john-adams-1947-doctor-atomic-symphony-4","Doctor Atomic Symphony","Doctor Atomic Symphony","Adams - Doctor Atomic Symphony",false,true,openopus
"john-adams-1947-fellow-traveler-5","Fellow Traveler","Fellow Traveler","Adams - Fellow Traveler, For string quartet",false,false,openopus
"john-adams-1947-grand-pianola-music-6","Grand Pianola Music","Grand Pianola Music","Adams - Grand Pianola Music, For voice, pianos, winds, brass and percussion",false,false,openopus
"john-adams-1947-hallelujah-junction-7","Hallelujah Junction","Hallelujah Junction","Adams - Hallelujah Junction",false,false,openopus
"john-adams-1947-harmonielehre-8","Harmonielehre","Harmonielehre","Adams - Harmonielehre",true,true,openopus
"john-adams-1947-harmonium-9","Harmonium","Harmonium","Adams - Harmonium, For chorus and orchestra",false,false,openopus
"john-adams-1947-i-was-looking-at-the-ceiling-and-then-i-saw-the-sky-10","I was looking at the ceiling and then I saw the sky","I was looking at the ceiling and then I saw the sky","Adams - I was looking at the ceiling and then I saw the sky",false,false,openopus
"john-adams-1947-johns-book-of-alleged-dances-11","John's Book of Alleged Dances","John's Book of Alleged Dances","Adams - John's Book of Alleged Dances, For string quartet",false,false,openopus
"john-adams-1947-light-over-water-12","Light Over Water","Light Over Water","Adams - Light Over Water, For brass and tape",false,false,openopus
"john-adams-1947-lollapalooza-13","Lollapalooza","Lollapalooza","Adams - Lollapalooza",false,false,openopus
"john-adams-1947-must-the-devil-have-all-the-good-tunes-14","Must the Devil Have All the Good Tunes?","Must the Devil Have All the Good Tunes?","Adams - Must the Devil Have All the Good Tunes?, For piano and orchestra",false,false,openopus
